YEAR_MONTH,FISCAL_YEAR,BRAND,BRAND_QUALITY_SIZE,SALES_CHANNEL,VOLUME_IN_L,NET_SALES,COGS
202203,2022,brand_g,,off_trade,406212.381,3336379.17,833645.98
202205,2022,brand_g,,off_trade,260597.448,2292703.56,517921.67
201810,2019,brand_e,,on_trade,3551.22,-12533.33,15457.13
201901,2019,brand_e,,on_trade,1472.346,5133.12,7353.53
201908,2020,brand_g,,off_trade,139011.435,1017770.89,243969.23
202110,2022,brand_c,,off_trade,355005.621,1267555.3,798102.81
202002,2020,brand_m,,on_trade,1215.612,22832.43,5047.84
202004,2020,brand_j,,on_trade,-995.4,913.26,-1766.28
201908,2020,brand_e,,off_trade,59732.946,650305.02,134540.24
202204,2022,brand_h,,on_trade,65643.48,403584.31,82937.6
202203,2022,brand_e,,on_trade,1704.294,24330.68,7492.1
201905,2019,brand_m,,on_trade,1312.533,6870.33,4072.02
201902,2019,brand_d,,on_trade,20599.56,70156.97,41488.53
201906,2019,brand_d,,on_trade,14967,44371.98,29037.87
201903,2019,brand_l,,on_trade,4529.466,43188.34,13205.11
202107,2022,brand_e,,on_trade,1029.924,-17279.95,2992.45
202010,2021,brand_l,,on_trade,1533.006,12227.39,4557.61
202302,2023,brand_k,,on_trade,3738.573,127570.48,26248.53
202008,2021,brand_d,,off_trade,1028779.524,3131145.78,2150523.75
201807,2019,brand_b,,on_trade,83399.355,280336.75,122607.59
201901,2019,brand_b,,on_trade,44486.379,79630.48,65090.08
202109,2022,brand_k,,off_trade,2789.991,92094.76,19836.88
202301,2023,brand_d,,on_trade,8451,28396.11,15410.51
202207,2023,brand_k,,on_trade,5435.982,187686.09,38165.9
202207,2023,brand_j,,on_trade,34998.579,579955.11,50489.83
202210,2023,brand_j,,on_trade,45149.958,411016.15,65134.48
201907,2020,brand_c,,on_trade,24623.1,87760.34,46555.6
202112,2022,brand_d,,on_trade,12258,44580.66,23667.36
202204,2022,brand_d,,on_trade,21519,74448.72,39767.08
202008,2021,brand_j,,on_trade,19991.997,162620.32,39689.9
202210,2023,brand_j,,off_trade,64902.528,492349.63,93630.05
201910,2020,brand_k,,off_trade,5140.791,162729.08,36386.22
202005,2020,brand_k,,off_trade,3358.17,82513.71,23769.11
202010,2021,brand_i,,off_trade,40865.418,455233.78,187742.1
202006,2020,brand_a,,on_trade,7501.95,-981473.27,12571.72
202207,2023,brand_b,,on_trade,83845.611,874786.39,127674.54
202202,2022,brand_e,,off_trade,34184.367,379449.65,80107.64
202110,2022,brand_a,,off_trade,452059.641,1875388.84,724907.62
202201,2022,brand_a,,off_trade,296421.867,1739429.75,479994.8
202105,2021,brand_b,,on_trade,85917.483,303357.68,123595.39
202204,2022,brand_e,,off_trade,47445.579,523183.42,108356.89
202007,2021,brand_a,,on_trade,44995.788,1845.49,70507.26
201912,2020,brand_l,,off_trade,28855.8,120870.52,87223.77
202001,2020,brand_m,,off_trade,28287.882,365526.06,77598.23
202005,2020,brand_m,,off_trade,65630.358,723678.82,181447.92
202301,2023,brand_m,,off_trade,28586.367,498246.23,77387.82
202004,2020,brand_h,,off_trade,220034.925,1094237.19,274872.33
201812,2019,brand_j,,off_trade,42021,221936.12,75077.62
201903,2019,brand_j,,off_trade,18774.018,105735.19,33469.42
202004,2020,brand_f,,on_trade,-884.097,-51026.29,-818.37
202105,2021,brand_h,,on_trade,54731.673,248538.18,68686.86
202207,2023,brand_m,,off_trade,40409.649,314879.67,107655.38
202007,2021,brand_k,,on_trade,1746,40615,12643.09
202009,2021,brand_k,,on_trade,4451.328,152020.66,32232.71
202104,2021,brand_f,,off_trade,72534.339,412336.32,143948.94
202206,2022,brand_d,,off_trade,1093287.141,3870769.37,2382352.49
202207,2023,brand_d,,off_trade,552905.667,-495989.34,1179481.25
201810,2019,brand_a,,on_trade,146690.406,378518.46,258355.05
201901,2019,brand_a,,on_trade,59338.818,32329.46,101700.99
201903,2019,brand_a,,on_trade,139898.205,326539.98,245078.88
202109,2022,brand_f,,off_trade,76687.686,539169.3,148912.4
201812,2019,brand_m,,off_trade,84182.616,920557.8,232951.27
201903,2019,brand_b,,on_trade,118031.067,363663.08,174034.83
202203,2022,brand_f,,off_trade,56042.91,335173.31,101381.53
201912,2020,brand_a,,off_trade,508073.85,2202281.1,863526.04
202008,2021,brand_m,,off_trade,32609.25,447015.67,91644.03
202110,2022,brand_f,,on_trade,85207.707,420205.11,150376.1
202104,2021,brand_l,,off_trade,29897.361,214902.32,88883.81
202207,2023,brand_f,,on_trade,77279.706,1270760.29,141377.06
202212,2023,brand_f,,on_trade,61291.728,255641.72,114954.89
201902,2019,brand_e,,off_trade,48752.379,536120.02,116936.78
201906,2019,brand_b,,off_trade,157343.301,611425.56,256315.75
202002,2020,brand_a,,on_trade,117546.867,264002.66,194125
202009,2021,brand_m,,on_trade,910.719,37580.86,3790.78
202104,2021,brand_m,,on_trade,579.636,23016.38,2916.67
202006,2020,brand_f,,on_trade,3383.316,-285822.51,8640.71
202212,2023,brand_c,,on_trade,4324.5,21221.32,9438.75
202301,2023,brand_d,,off_trade,833401.917,2747196.33,1714539.32
202302,2023,brand_d,,off_trade,806889.276,2700322.38,1625813.42
202302,2023,brand_g,,on_trade,47984.166,368291.65,91448.55
202206,2022,brand_m,,off_trade,84520.377,1103883.45,220519.33
202007,2021,brand_e,,on_trade,371.421,-26855.42,1441.63
